index,ds,y,yhat1,trend,season_yearly,season_weekly
0,2018-01-01,133,95.59243,192.60938,-71.56375,-25.453203
1,2018-01-02,99,96.06523,192.45662,-71.44593,-24.945463
2,2018-01-03,127,115.39941,192.30386,-71.25718,-5.647286
3,2018-01-04,145,139.04794,192.15111,-71.00536,17.902203
4,2018-01-05,149,149.27771,191.99835,-70.695984,27.97536
5,2018-01-06,149,138.49757,191.84558,-70.335815,16.987795
6,2018-01-07,92,114.97152,191.69283,-69.93358,-6.787729
7,2018-01-08,119,96.592834,191.54007,-69.493835,-25.45341
8,2018-01-09,114,97.405205,191.38731,-69.024506,-24.957603
9,2018-01-10,103,117.056656,191.23456,-68.53109,-5.646798
10,2018-01-11,139,140.96481,191.08179,-68.01956,17.902586
11,2018-01-12,126,151.4072,190.92903,-67.49661,27.974789
12,2018-01-13,170,140.79776,190.77628,-66.96592,16.987398
13,2018-01-14,92,117.37573,190.62352,-66.43307,-6.814718
14,2018-01-15,121,99.114075,190.47076,-65.90307,-25.453615
15,2018-01-16,116,99.982315,190.318,-65.3783,-24.957378
16,2018-01-17,122,119.62956,190.16524,-64.86261,-5.673069
17,2018-01-18,122,143.55591,190.01248,-64.35953,17.90297
18,2018-01-19,139,153.96442,189.85973,-63.87009,27.974781
19,2018-01-20,153,143.29764,189.70697,-63.39633,16.987001
20,2018-01-21,94,119.82555,189.5542,-62.939964,-6.7886977
21,2018-01-22,96,101.43625,189.40144,-62.500046,-25.465158
22,2018-01-23,126,102.22648,189.24869,-62.07742,-24.944786
23,2018-01-24,102,121.75009,189.09592,-61.673252,-5.672581
24,2018-01-25,126,145.5425,188.94318,-61.283024,17.882345
25,2018-01-26,124,155.85854,188.7904,-60.90664,27.97477
26,2018-01-27,131,145.07996,188.63763,-60.5443,16.986607
27,2018-01-28,111,121.50504,188.4849,-60.19067,-6.789181
28,2018-01-29,129,103.03322,188.33212,-59.84488,-25.45403
29,2018-01-30,108,103.73184,188.17938,-59.50298,-24.944557
30,2018-01-31,117,123.21844,188.02661,-59.162846,-5.645332
31,2018-02-01,148,146.95744,187.87384,-58.820145,17.903734
32,2018-02-02,168,157.22424,187.7211,-58.472168,27.97532
33,2018-02-03,173,146.44019,187.56833,-58.11437,16.98621
34,2018-02-04,126,122.88292,187.41557,-57.74299,-6.7896643
35,2018-02-05,121,104.4528,187.26282,-57.35578,-25.454237
36,2018-02-06,113,105.20572,187.11006,-56.947636,-24.956701
37,2018-02-07,140,124.797676,186.9573,-56.514786,-5.644844
38,2018-02-08,130,148.65352,186.80453,-56.055145,17.904118
39,2018-02-09,154,159.06155,186.65178,-55.564972,27.97475
40,2018-02-10,151,148.44492,186.49902,-55.039917,16.985813
41,2018-02-11,111,125.05017,186.34627,-54.479443,-6.816654
42,2018-02-12,127,106.85823,186.19351,-53.880836,-25.454445
43,2018-02-13,133,107.84572,186.04074,-53.238556,-24.956474
44,2018-02-14,123,127.66004,185.88799,-52.556828,-5.6711173
45,2018-02-15,120,151.81274,185.73523,-51.82699,17.904501
46,2018-02-16,154,162.50333,185.58247,-51.053875,27.974737
47,2018-02-17,179,152.17953,185.42972,-50.235588,16.985418
48,2018-02-18,107,129.11343,185.27695,-49.372887,-6.790632
49,2018-02-19,104,111.19801,185.12419,-48.460197,-25.465984
50,2018-02-20,129,112.52389,184.97144,-47.503666,-24.94388
51,2018-02-21,136,132.64429,184.81868,-46.50377,-5.6706276
52,2018-02-22,142,157.08932,184.66592,-45.46047,17.883877
53,2018-02-23,158,168.11118,184.51315,-44.3767,27.974728
54,2018-02-24,185,158.09166,184.3604,-43.25376,16.985022
55,2018-02-25,111,135.32457,184.20764,-42.09195,-6.7911143
56,2018-02-26,132,117.70195,184.05489,-40.898075,-25.454857
57,2018-02-27,129,119.3412,183.95657,-39.671703,-24.943655
58,2018-02-28,159,139.80577,183.86815,-38.419006,-5.64338
59,2018-03-01,164,164.54417,183.77974,-37.140835,17.905266
60,2018-03-02,203,175.8241,183.69131,-35.842506,27.975279
61,2018-03-03,198,166.06644,183.6029,-34.5211,16.984625
62,2018-03-04,156,143.53215,183.5145,-33.190735,-6.7915983
63,2018-03-05,150,126.12393,183.42607,-31.847075,-25.455065
64,2018-03-06,170,127.88269,183.33766,-30.49917,-24.955797
65,2018-03-07,169,148.46005,183.24924,-29.146294,-5.6428905
66,2018-03-08,166,173.27475,183.16083,-27.791739,17.905651
67,2018-03-09,176,184.603,183.07242,-26.444126,27.974707
68,2018-03-10,195,174.86694,182.984,-25.101269,16.984228
69,2018-03-11,133,152.30939,182.89558,-23.767612,-6.8185873
70,2018-03-12,171,134.90514,182.80716,-22.446756,-25.455273
71,2018-03-13,159,136.62076,182.71875,-21.142405,-24.955574
72,2018-03-14,162,157.10733,182.63034,-19.85383,-5.669163
73,2018-03-15,160,181.84064,182.54192,-18.586311,17.885027
74,2018-03-16,161,193.09045,182.4535,-17.337746,27.974695
75,2018-03-17,188,183.23683,182.36508,-16.11209,16.983833
76,2018-03-18,130,160.57274,182.27667,-14.911361,-6.7925653
77,2018-03-19,153,142.99911,182.18826,-13.733662,-25.455479
78,2018-03-20,157,144.57645,182.09984,-12.580409,-24.942978
79,2018-03-21,173,164.8913,182.01143,-11.451445,-5.668676
80,2018-03-22,178,189.459,181.923,-10.34942,17.885412
81,2018-03-23,178,200.53888,181.8346,-9.270963,27.975248
82,2018-03-24,191,190.51395,181.74619,-8.21567,16.983437
83,2018-03-25,134,167.67908,181.65776,-7.1856413,-6.7930503
84,2018-03-26,148,149.93893,181.56935,-6.174729,-25.455687
85,2018-03-27,136,151.33994,181.48093,-5.185872,-24.955126
86,2018-03-28,166,171.53897,181.39252,-4.2121253,-5.641425
87,2018-03-29,181,195.95065,181.30411,-3.260247,17.9068
88,2018-03-30,181,206.86902,181.21568,-2.3219092,27.975239
89,2018-03-31,203,196.73206,181.12727,-1.3999641,17.00475
90,2018-04-01,134,173.75835,181.03885,-0.4869726,-6.7935343
91,2018-04-02,187,155.91113,180.95044,0.41658774,-25.455893
92,2018-04-03,210,157.21631,180.86203,1.309183,-24.954897
93,2018-04-04,229,177.29982,180.7736,2.1939058,-5.6676993
94,2018-04-05,199,201.67044,180.6852,3.0780582,17.907183
95,2018-04-06,219,212.52718,180.59677,3.9557447,27.974665
96,2018-04-07,244,202.32205,180.50836,4.8310537,16.982643
97,2018-04-08,167,179.36047,180.41995,5.708028,-6.7675066
98,2018-04-09,149,161.45895,180.33153,6.5835376,-25.456099
99,2018-04-10,183,162.74887,180.24312,7.460413,-24.954672
100,2018-04-11,202,182.82361,180.1547,8.336125,-5.6672106
101,2018-04-12,209,207.16974,180.06628,9.216903,17.886562
102,2018-04-13,210,218.05222,179.97787,10.099698,27.974653
103,2018-04-14,259,207.85312,179.88945,10.981435,16.982246
104,2018-04-15,139,184.8719,179.80104,11.865362,-6.7945013
105,2018-04-16,155,167.0051,179.71262,12.748781,-25.456306
106,2018-04-17,174,168.31822,179.6242,13.636097,-24.942074
107,2018-04-18,209,188.38647,179.5358,14.517398,-5.6667233
108,2018-04-19,196,212.73225,179.44737,15.397931,17.886944
109,2018-04-20,221,223.60474,179.35896,16.270567,27.975212
110,2018-04-21,238,213.3926,179.27054,17.140207,16.98185
111,2018-04-22,144,190.38818,179.18213,18.001055,-6.794984
112,2018-04-23,164,172.48605,179.09372,18.848866,-25.456514
113,2018-04-24,173,173.76291,179.03021,19.686924,-24.95422
114,2018-04-25,204,193.84784,178.97775,20.509548,-5.639475
115,2018-04-26,203,218.14856,178.92532,21.314901,17.90833
116,2018-04-27,208,228.94804,178.8729,22.099955,27.975199
117,2018-04-28,230,218.68787,178.82047,22.864243,17.003164
118,2018-04-29,137,195.57796,178.768,23.605412,-6.7954683
119,2018-04-30,187,177.57687,178.71558,24.318,-25.45672
