index,ds,y
0,2018-01-01,133
1,2018-01-02,99
2,2018-01-03,127
3,2018-01-04,145
4,2018-01-05,149
5,2018-01-06,149
6,2018-01-07,92
7,2018-01-08,119
8,2018-01-09,114
9,2018-01-10,103
10,2018-01-11,139
11,2018-01-12,126
12,2018-01-13,170
13,2018-01-14,92
14,2018-01-15,121
15,2018-01-16,116
16,2018-01-17,122
17,2018-01-18,122
18,2018-01-19,139
19,2018-01-20,153
20,2018-01-21,94
21,2018-01-22,96
22,2018-01-23,126
23,2018-01-24,102
24,2018-01-25,126
25,2018-01-26,124
26,2018-01-27,131
27,2018-01-28,111
28,2018-01-29,129
29,2018-01-30,108
30,2018-01-31,117
31,2018-02-01,148
32,2018-02-02,168
33,2018-02-03,173
34,2018-02-04,126
35,2018-02-05,121
36,2018-02-06,113
37,2018-02-07,140
38,2018-02-08,130
39,2018-02-09,154
40,2018-02-10,151
41,2018-02-11,111
42,2018-02-12,127
43,2018-02-13,133
44,2018-02-14,123
45,2018-02-15,120
46,2018-02-16,154
47,2018-02-17,179
48,2018-02-18,107
49,2018-02-19,104
50,2018-02-20,129
51,2018-02-21,136
52,2018-02-22,142
53,2018-02-23,158
54,2018-02-24,185
55,2018-02-25,111
56,2018-02-26,132
57,2018-02-27,129
58,2018-02-28,159
59,2018-03-01,164
60,2018-03-02,203
61,2018-03-03,198
62,2018-03-04,156
63,2018-03-05,150
64,2018-03-06,170
65,2018-03-07,169
66,2018-03-08,166
67,2018-03-09,176
68,2018-03-10,195
69,2018-03-11,133
70,2018-03-12,171
71,2018-03-13,159
72,2018-03-14,162
73,2018-03-15,160
74,2018-03-16,161
75,2018-03-17,188
76,2018-03-18,130
77,2018-03-19,153
78,2018-03-20,157
79,2018-03-21,173
80,2018-03-22,178
81,2018-03-23,178
82,2018-03-24,191
83,2018-03-25,134
84,2018-03-26,148
85,2018-03-27,136
86,2018-03-28,166
87,2018-03-29,181
88,2018-03-30,181
89,2018-03-31,203
90,2018-04-01,134
91,2018-04-02,187
92,2018-04-03,210
93,2018-04-04,229
94,2018-04-05,199
95,2018-04-06,219
96,2018-04-07,244
97,2018-04-08,167
98,2018-04-09,149
99,2018-04-10,183
100,2018-04-11,202
101,2018-04-12,209
102,2018-04-13,210
103,2018-04-14,259
104,2018-04-15,139
